Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_R0006	430	205	223	77	54	4
SAOUHSC_R00011	65	52	60	12	8	1
SAOUHSC_00450	44	37	36	33	48	16
SAOUHSC_00451	38	16	29	35	30	2
SAOUHSC_00452	50	33	37	12	5	3
SAOUHSC_00454	49	23	38	7	5	0
SAOUHSC_00455	168	98	124	37	21	3
SAOUHSC_00456	39	18	26	17	12	0
SAOUHSC_00457	176	84	116	131	100	26
SAOUHSC_00458	313	178	188	55	35	4
SAOUHSC_00459	65	45	44	9	9	0
SAOUHSC_00461	140	79	107	27	17	0
SAOUHSC_00462	75	45	42	22	14	0
SAOUHSC_00463	52	30	26	13	12	1
SAOUHSC_00464	91	46	58	22	17	4
SAOUHSC_00465	109	77	56	41	28	4
SAOUHSC_00466	62	27	27	30	46	1
SAOUHSC_00467	53	28	25	29	22	1
SAOUHSC_00468	9	5	9	4	1	0
SAOUHSC_00469	297	158	179	57	22	6
SAOUHSC_00470	174	108	101	43	31	3
SAOUHSC_00471	24477	24867	16866	5447	5426	679
SAOUHSC_00472	177	135	99	63	54	25
SAOUHSC_00473	90	59	82	17	16	2
SAOUHSC_00474	663	381	425	165	96	10
SAOUHSC_00475	400	264	300	77	51	6
SAOUHSC_00477	223	156	132	36	33	3
SAOUHSC_00479	21	6	17	9	4	0
SAOUHSC_00480	54	26	50	7	5	0
SAOUHSC_00481	96	67	63	43	33	0
SAOUHSC_00482	131	78	88	75	102	1
SAOUHSC_00483	44	23	30	21	28	5
SAOUHSC_00484	232	146	135	75	49	11
SAOUHSC_00485	109	74	67	24	14	2
SAOUHSC_00486	145	86	111	19	17	1
SAOUHSC_00487	205	112	144	20	13	1
SAOUHSC_00488	66	34	44	4	4	0
SAOUHSC_00489	105	67	79	20	12	3
SAOUHSC_00490	20	8	18	1	1	0
SAOUHSC_00491	567	434	475	120	83	11
SAOUHSC_00492	0	0	0	0	0	0
SAOUHSC_00493	0	0	0	0	0	0
SAOUHSC_R00016	2	6	2	0	1	1
SAOUHSC_T00059	0	0	0	0	0	0
SAOUHSC_T00053	0	0	0	0	0	0
SAOUHSC_T00035	1	1	0	0	0	1
SAOUHSC_T00021	2	1	0	0	0	1
SAOUHSC_T00030	2	0	0	0	0	0
SAOUHSC_T0004	0	0	0	0	0	0
SAOUHSC_T00044	17	12	0	19	8	16
SAOUHSC_T0001	24	15	5	29	19	57
SAOUHSC_R0002	1	1	2	1	0	1
SAOUHSC_R0007	803	532	610	304	204	18
SAOUHSC_R00012	143	93	85	43	39	4
SAOUHSC_00497	43	35	40	42	40	0
SAOUHSC_00499	104	98	80	58	42	7
SAOUHSC_00500	56	39	46	106	84	14
SAOUHSC_00501	80	33	44	26	33	1
SAOUHSC_00502	167	84	92	37	25	1
SAOUHSC_00503	292	194	188	194	247	62
SAOUHSC_00504	219	128	177	33	24	2
SAOUHSC_00505	102	79	64	39	61	3
SAOUHSC_00507	187	111	132	43	43	1
SAOUHSC_00508	45	34	33	17	19	3
SAOUHSC_00509	99	55	85	26	27	4
SAOUHSC_00510	26	16	9	4	3	0
SAOUHSC_00511	116	87	114	23	14	2
SAOUHSC_00512	118	86	86	42	29	3
SAOUHSC_00513	18	12	24	38	70	2
SAOUHSC_00514	19	8	17	3	4	0
SAOUHSC_00515	61	37	34	5	18	5
SAOUHSC_00516	81	40	30	26	28	1
SAOUHSC_00517	90	55	35	35	26	6
SAOUHSC_00518	136	88	79	43	43	1
SAOUHSC_00519	38	23	12	19	10	3
SAOUHSC_00520	281	130	153	49	21	6
SAOUHSC_00521	1063	521	511	275	171	32
SAOUHSC_00523	843	415	367	274	198	50
SAOUHSC_00524	52	34	29	23	13	0
SAOUHSC_00525	114	59	64	63	54	13
SAOUHSC_00526	166	93	72	152	117	16
SAOUHSC_00527	661	409	285	763	749	228
SAOUHSC_00528	242	165	107	158	116	11
SAOUHSC_00529	874	905	775	93	70	16
SAOUHSC_00530	130	56	73	28	24	0
SAOUHSC_00531	78	47	50	22	45	4
SAOUHSC_00532	207	124	114	48	46	2
SAOUHSC_00533	115	77	67	58	42	3
SAOUHSC_00534	150	82	93	62	54	5
SAOUHSC_00535	3	0	1	0	0	0
SAOUHSC_00536	78	57	62	24	16	0
SAOUHSC_00537	73	75	53	198	312	16
SAOUHSC_00538	36	17	37	131	203	8
SAOUHSC_00539	189	142	130	865	763	228
SAOUHSC_00540	121	60	75	187	193	19
SAOUHSC_00541	47	28	28	13	11	2
SAOUHSC_00542	294	174	230	196	213	4
SAOUHSC_00543	439	226	246	89	46	18
SAOUHSC_A00526	422	199	252	124	61	11
SAOUHSC_00544	121	97	126	87	91	2
SAOUHSC_00545	149	109	121	177	265	18
SAOUHSC_00547	266	178	159	262	359	32
SAOUHSC_00548	228	134	132	210	221	46
SAOUHSC_00549	194	145	131	153	213	29
SAOUHSC_00550	901	689	746	113	95	3
SAOUHSC_00551	676	560	731	102	69	3
SAOUHSC_00552	1103	816	1007	195	102	8
SAOUHSC_00553	1975	1591	1586	572	288	18
SAOUHSC_00554	20735	15644	18597	3806	1995	98
SAOUHSC_00555	3486	2345	3384	215	98	10
SAOUHSC_00556	4669	3582	4675	580	458	46
SAOUHSC_00557	1446	879	1383	269	340	4
SAOUHSC_00558	5249	2924	2745	801	452	59
SAOUHSC_00559	220	123	118	83	54	5
SAOUHSC_00560	285	255	235	78	76	6
SAOUHSC_00561	160	117	107	61	75	18
SAOUHSC_00562	55	33	43	30	33	0
SAOUHSC_00564	55	44	31	25	54	4
SAOUHSC_00565	196	142	130	116	143	21
SAOUHSC_00567	418	461	315	833	1692	331
SAOUHSC_00569	753	813	566	1141	2074	588
SAOUHSC_00571	123	101	85	562	916	99
SAOUHSC_00572	268	157	172	81	60	7
SAOUHSC_00573	187	132	125	60	73	0
SAOUHSC_00574	326	225	171	28	16	3
SAOUHSC_00575	249	203	130	36	24	3
SAOUHSC_00577	258	208	152	23	10	3
SAOUHSC_00578	150	106	92	20	18	5
SAOUHSC_00579	406	333	396	112	90	7
SAOUHSC_00580	114	99	96	25	21	3
SAOUHSC_00581	5	2	5	0	0	0
SAOUHSC_00582	125	76	107	14	23	3
