"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02595",230,147,150,2732,4714,230,969.187320372428,-3.57491427874513,0.432656027105476,-8.26271692702806,1.42393641842914e-16,2.73374852096948e-15
"SAOUHSC_02596",240,193,204,418,505,19,199.151332487467,-0.230989261213688,0.500948953336061,-0.461103391224633,0.644724428823791,0.717546381632826
"SAOUHSC_02597",1959,1647,1178,3456,4464,714,1944.12733489971,-0.87806309714602,0.223329278101331,-3.9316971989119,8.43482656750787e-05,0.000279905246074421
"SAOUHSC_02599",252,165,160,722,781,52,270.188464762972,-1.20797589489325,0.39655985212709,-3.04613764710129,0.00231801690338635,0.0055373670034234
"SAOUHSC_02600",2055,1534,1317,3344,6084,1072,2323.09686174919,-1.20602736500633,0.294496497495469,-4.09521802555523,4.21771282148385e-05,0.00014801677657116
"SAOUHSC_02603",176,94,111,664,1006,92,281.206103043637,-2.08083154924083,0.315043525589791,-6.60490179998245,3.97780929807232e-11,3.81840444017163e-10
"SAOUHSC_02604",5641,4864,3580,19894,25196,13436,15101.6883921911,-2.69357515845368,0.54446364947826,-4.94720843353791,7.52853494484995e-07,3.81689412446664e-06
"SAOUHSC_02605",935,688,648,1676,2843,785,1275.58907825446,-1.53895807085083,0.398928035877813,-3.85773355704234,0.000114443303815844,0.000370733829110632
"SAOUHSC_02606",3041,2057,1964,843,1113,274,1380.53334119532,1.4479096635459,0.316473572134001,4.57513609677595,4.75910511805394e-06,2.04039794141853e-05
"SAOUHSC_02607",2527,1908,1778,514,765,291,1205.88016574803,1.52351040624964,0.465849944449843,3.27038872581356,0.00107399786675229,0.00279861120767487
"SAOUHSC_02608",366,248,189,426,537,22,225.942419033887,-0.0093504876052836,0.485261363887353,-0.0192689719420032,0.984626536134788,0.988412105285633
"SAOUHSC_02609",48,33,32,38,38,2,25.3040420127372,0.66297411945124,0.473247800274845,1.40090269635951,0.161243172365832,0.232728536786725
"SAOUHSC_02610",5795,5809,3642,13976,16260,9424,11243.1875081372,-2.04203581034165,0.56389318025652,-3.62131673486938,0.000293107402476237,0.000873634050074719
"SAOUHSC_02611",2804,1784,2127,4361,5078,494,2246.69096647603,-0.412223809104589,0.292521128483132,-1.40921037479301,0.158772970895213,0.229671039893297
"SAOUHSC_02612",1214,912,681,2492,2702,491,1244.88956747251,-1.07973468987477,0.238164606129516,-4.5335648626463,5.79964454758253e-06,2.44634441255864e-05
"SAOUHSC_02613",793,582,426,1716,1587,154,696.651078805114,-0.793311287678068,0.346186006876735,-2.29157525699916,0.0219301646145151,0.0409582688186688
"SAOUHSC_02614",2441,2000,1682,3136,4676,600,2051.00035143782,-0.410739997357367,0.204784840347698,-2.0057148598499,0.044886678864499,0.0767512236510851
"SAOUHSC_02615",925,819,704,1631,3025,603,1200.85608949315,-1.25290383521405,0.331541648319869,-3.77902396746625,0.000157444271296541,0.000494094942734699
"SAOUHSC_02616",5,4,6,13,6,0,4.26705331146319,-0.157821828957164,0.984908352342871,-0.160240116333406,0.872691929398667,0.899565190548725
"SAOUHSC_02618",1718,1109,1274,845,1103,71,832.540923878126,1.25908791261711,0.373501888324771,3.37103493174924,0.000748863615682409,0.00203040799641409
"SAOUHSC_02619",392,275,298,197,225,7,186.804325060088,1.48562383042738,0.511156212236204,2.90639885589589,0.00365615078011349,0.00831551366452641
"SAOUHSC_02620",4904,3371,5110,569,784,76,2143.82207333991,3.38681220736147,0.322182466376755,10.5120934899076,7.59877188385401e-26,3.48077076995488e-24
"SAOUHSC_02621",370,226,199,338,344,244,336.651040455031,-0.985187344906287,0.603008979121725,-1.63378553059226,0.102303891586831,0.157311814448302
"SAOUHSC_02622",1127,931,962,697,517,103,631.626504347325,1.1866224623698,0.297280514739838,3.99159179137005,6.56312753734579e-05,0.0002220965851306
"SAOUHSC_02623",5484,4170,4269,4719,5774,1379,3955.29077893648,0.0500726336441483,0.294483722863982,0.170035318615135,0.864982360831231,0.894443146190235
"SAOUHSC_02624",1578,1216,1246,2060,2208,134,1109.25937774528,0.146720512827941,0.414767841207416,0.353741293926809,0.723532772848846,0.786646134666916
"SAOUHSC_02625",901,626,543,1382,2114,103,713.701253697122,-0.514123820104038,0.429835262342312,-1.19609502790071,0.231659477712665,0.315690446924723
"SAOUHSC_02626",1139,885,736,2115,3476,529,1292.64880195548,-1.17999709117663,0.241434749709038,-4.88743684411085,1.02157250775126e-06,5.02321246278445e-06
"SAOUHSC_02627",1884,1209,1128,3342,3867,1155,2068.94499503722,-1.28994221933616,0.361786861026987,-3.56547558326045,0.000363196976151659,0.001050174202361
"SAOUHSC_02628",2770,1979,2029,3084,3040,365,1840.21327527692,0.167799640639482,0.262547912351703,0.63912007197643,0.522744823212963,0.604467109569994
"SAOUHSC_02629",14501,22982,14223,23446,32709,6802,17653.8270494559,-0.386039673508835,0.370767305683826,-1.04119124742362,0.297786797066017,0.387984694181323
"SAOUHSC_02630",5479,8375,4833,8276,13455,1823,6095.40848548895,-0.279406023107123,0.341923731209186,-0.817158908856737,0.413837621622142,0.503743603755438
"SAOUHSC_02631",469,217,266,1088,1060,73,402.930218265799,-1.01640262932625,0.434382057410312,-2.33988170548714,0.0192898486545827,0.036736538903804
"SAOUHSC_02634",10,9,10,5,5,2,6.5484720935878,1.18356779630904,0.782964875186954,1.51164864966188,0.130623268389352,0.194003045372354
"SAOUHSC_02635",5982,4060,4868,3087,4541,303,3117.89238396878,1.15417436635028,0.360402344413132,3.20246076154056,0.0013625886182162,0.00345745275234452
"SAOUHSC_02638",614,483,305,2042,3338,401,994.246889614223,-2.00098321603362,0.280316677045869,-7.13829529202857,9.44954636032693e-13,1.20354953886896e-11
"SAOUHSC_02640",801,513,502,175,212,21,311.486372577808,2.2426591054423,0.279569952245661,8.02181739284931,1.04191955857547e-15,1.76652725158477e-14
"SAOUHSC_02641",461,337,345,116,98,12,194.56958585447,2.4055315511781,0.316930537985385,7.59009077026535,3.19681464791723e-14,4.66306315402899e-13
